Country,Name,Age,Ht.,Nickname,MMA record
United States,Victor Martinez,32,5 ft 8 in (1.73 m),The Brick,13–5
United States,Trevor Peek,29,5 ft 9 in (1.75 m),,9–1 (1 NC)
Argentina,Esteban Ribovics,27,5 ft 10 in (1.78 m),Gringo,12–1
Tajikistan,Loik Radzhabov,33,5 ft 11 in (1.80 m),Jaguar Paw,17–5–1
Israel,Yanal Ashmouz,28,5 ft 9 in (1.75 m),Red Fox,8–1
Scotland,Chris Duncan,30,5 ft 10 in (1.78 m),The Problem,11–1
United States,Jesse Butler,31,5 ft 10 in (1.78 m),,12–5
United States,Darrius Flowers,29,5 ft 9 in (1.75 m),Beast Mode,12–7–1
United States,Landon Quiñones,28,5 ft 9 in (1.75 m),The Lone Wolf,7–3–1
United States,Charlie Campbell,28,6 ft 0 in (1.83 m),The Cannibel,8–2
United States,Brendon Marotte,27,5 ft 9 in (1.75 m),The Kid,8–2
United Arab Emirates,Mohammad Yahya,29,5 ft 9 in (1.75 m),,12–4
Brazil,Kauê Fernandes,28,5 ft 9 in (1.75 m),,8–2
Brazil,Kaynan Kruschewsky,32,6 ft 0 in (1.83 m),Bahia,15–2
Australia,Tom Nolan,23,6 ft 3 in (1.91 m),Big Train,6–1
United States,Marquel Mederos,27,5 ft 10 in (1.78 m),,9–1
Belgium,Bolaji Oki,28,5 ft 10 in (1.78 m),The Zulu Warrior,9–1
United States,Timothy Cuamba,25,5 ft 9 in (1.75 m),Twilight Timmy,8–2
